Keyword,Search Volume,Keyword Difficulty,Position,Previous position,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents
custom stickers,110000,70,87,88,2.84,https://www.psprint.com/stickers-labels/category,0,0,0,1,386000000,"[100,100,82,100,82,100,100,100,82,100,100,100]",2021-12-13,"Image pack, Site links, Reviews, AdWords top, Shopping ads, FAQ",commercial
sticker maker,49500,69,62,61,1.61,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,160000000,"[100,100,100,100,82,82,82,67,67,67,82,82]",2021-12-13,"Image pack, Site links, Reviews, AdWords top, Video Carousel, People also ask, FAQ",transactional
invitation maker,40500,80,64,0,0.85,https://www.psprint.com/design-templates/invitation-cards/,0,0,0,0.86,125000000,"[67,55,37,45,37,67,82,100,82,82,82,82]",2021-12-13,"Image pack, Site links, Reviews, People also ask, FAQ",commercial
cheap business cards,27100,73,44,35,2.46,https://www.psprint.com/business-cards,8,0.01,19,1,1890000000,"[100,82,67,82,82,100,82,82,82,82,82,82]",2021-12-13,"Image pack, Site links, Reviews, AdWords top, Shopping ads, People also ask, FAQ",commercial
design essentials,27100,51,90,0,0.65,https://www.psprint.com/resources/event-ticket-design-essentials/,0,0,0,1,2350000000,"[82,82,82,100,82,82,82,82,67,82,82,67]",2021-12-13,"Site links, Reviews, AdWords top, Video Carousel, People also ask, FAQ",transactional
business card design,27100,80,9,9,3.1,https://www.psprint.com/design-templates/business-cards/,813,1.07,2520,1,4020000000,"[100,82,67,82,82,100,100,82,82,82,82,82]",2021-12-13,"Image pack, Reviews, AdWords top, Shopping ads, Video Carousel, FAQ",commercial
wedding invitation templates,27100,77,78,79,1.2,https://www.psprint.com/design-templates/invitation-cards/~~~~~~wedding,0,0,0,1,135000000,"[55,45,45,100,82,100,100,100,100,100,82,82]",2021-12-13,"Image pack, Site links, Reviews, Video, Image, FAQ",commercial
sticker paper,27100,54,98,0,0.89,https://www.psprint.com/special/videos/products/what-sticker-is-right-for-you/,0,0,0,1,1660000000,"[100,82,100,100,82,82,67,67,67,67,67,67]",2021-12-13,"Reviews, Shopping ads, Video Carousel, FAQ","informational, transactional"
free birthday cards,22200,81,41,39,0.38,https://www.psprint.com/design-templates/greeting-cards/~~~~~~birthday,6,0,2,1,2220000000,"[100,82,82,82,82,82,82,67,67,67,67,82]",2021-12-13,"Image pack, Site links, Reviews, Video, AdWords top, People also ask",commercial
free business cards,22200,73,8,8,1.76,https://www.psprint.com/design-templates/business-cards/,666,0.87,1172,1,3580000000,"[100,82,67,82,82,82,82,82,82,82,82,82]",2021-12-13,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads, FAQ",commercial
business card maker,22200,74,13,11,2.36,https://www.psprint.com/design-templates/business-cards/,199,0.26,471,1,852000000,"[82,82,67,82,82,100,100,100,82,100,100,82]",2021-12-13,"Site links, Reviews, Video, FAQ",commercial
cool stickers,18100,57,53,60,0.44,https://www.psprint.com/design-templates/stickers-labels/,1,0,0,1,0,"[82,67,82,100,67,82,67,82,82,82,100,82]",2021-12-13,"Carousel, Image pack, Reviews",transactional
business thank you cards,14800,65,15,15,2.13,https://www.psprint.com/design-templates/invitation-cards/~~~~~~thank_you,74,0.09,157,1,3310000000,"[82,82,82,100,82,82,82,67,55,55,55,45]",2021-12-13,"Image pack, Site links, Reviews, Image, Video Carousel, People also ask, FAQ",transactional
desk calendar 2021,14800,60,87,0,0.44,https://www.psprint.com/layout-templates/desk-calendars-printing/,0,0,0,1,864000000,"[20,45,100,100,30,24,20,16,16,16,16,11]",2021-12-14,"Site links, Reviews, Video, Image, FAQ",transactional
free invitation maker,14800,78,13,14,0.58,https://www.psprint.com/design-templates/invitation-cards/,133,0.17,77,0.78,91800000,"[67,55,45,55,45,67,82,100,82,82,82,82]",2021-12-13,"Image pack, Site links, Reviews, AdWords top, People also ask, FAQ",commercial
baby announcement,14800,64,81,0,1.82,https://www.psprint.com/resources/what-are-the-best-colors-for-baby-announcements/,0,0,0,1,1740000000,"[100,20,24,24,30,45,37,24,82,20,67,20]",2021-12-13,"Image pack, Reviews, Image, People also ask, FAQ","commercial, informational"
free vector images,14800,82,86,0,1.96,https://www.psprint.com/resources/difference-between-raster-vector/,0,0,0,0.31,1340000000,"[100,100,100,100,100,100,100,82,82,82,100,82]",2021-12-13,"Image pack, Site links, Reviews, Video, People also ask, FAQ",commercial
wedding program,14800,65,30,31,1.66,https://www.psprint.com/resources/perfect-wedding-program-printing-guide/,22,0.02,36,1,1190000000,"[55,36,30,45,45,67,82,100,100,100,100,100]",2021-12-13,"Image pack, Site links, Reviews, Image, Shopping ads, People also ask, FAQ",commercial
high resolution images,14800,78,17,16,2.8,https://www.psprint.com/resources/how-to-check-your-image-resolution/,59,0.07,165,0.22,4510000000,"[100,100,100,100,82,100,82,82,67,67,67,67]",2021-12-13,"Image pack, Site links, Video, People also ask","commercial, informational"
cheap wedding invitations,12100,63,30,27,3.03,https://www.psprint.com/resources/affordable-wedding-invitations-for-budget-weddings/,18,0.02,54,1,116000000,"[55,45,45,100,82,100,82,67,67,67,55,45]",2021-12-13,"Image pack, Site links, Reviews, Video Carousel, People also ask, FAQ",commercial
sticker labels,12100,79,54,53,2.48,https://www.psprint.com/design-templates/stickers-labels/,1,0,3,1,0,"[67,100,82,67,67,67,67,67,55,67,82,67]",2021-12-13,"Carousel, Image pack, Site links, Reviews, Video, Image, AdWords top, FAQ",commercial
invitation templates,12100,78,58,52,0.96,https://www.psprint.com/design-templates/invitation-cards/~4x6,1,0,1,1,121000000,"[67,55,45,55,55,67,82,100,100,82,82,82]",2021-12-13,"Image pack, Site links, Reviews, Video, Shopping ads, People also ask, FAQ",commercial
custom car stickers,12100,70,93,0,0.88,https://www.psprint.com/stickers-labels/category,0,0,0,1,145000000,"[67,67,67,82,67,100,100,82,82,82,82,67]",2021-12-13,"Site links, Reviews, Image, Video Carousel",transactional
desk calendar,12100,55,54,60,0.63,https://www.psprint.com/calendars/category,1,0,0,1,1170000000,"[45,67,100,67,24,24,20,24,37,45,55,45]",2021-12-13,"Image pack, Site links, Reviews, Video, Image, FAQ",commercial
calling card,12100,67,56,57,1.73,https://www.psprint.com/resources/personalized-calling-card-design-ideas/,1,0,2,0.98,2430000000,"[100,100,100,100,100,100,100,100,100,100,100,82]",2021-12-13,"Image pack, Site links, Reviews, Video, Image, AdWords top, Shopping ads, Video Carousel, People also ask",commercial
custom calendar,9900,77,75,60,1.58,https://www.psprint.com/calendars,0,0,0,1,4050000000,"[37,82,100,55,24,16,16,20,20,20,24,30]",2021-12-13,"Site links, Reviews, Video, AdWords top, Shopping ads, FAQ",commercial
thanksgiving colors,9900,30,36,37,0,https://blog.psprint.com/designing/thanksgiving-color-palettes/,6,0,0,0.74,325000000,"[16,100,2,1,1,1,1,1,1,1,2,5]",2021-12-13,"Image pack, Reviews, Video Carousel, People also ask","commercial, informational"
custom coasters,9900,58,71,67,3.39,https://www.psprint.com/coasters.aspx,0,0,0,1,42400000,"[55,82,100,55,45,55,55,55,55,55,67,67]",2021-12-13,"Reviews, Video, Image, AdWords top, Shopping ads, FAQ",transactional
die cut stickers,9900,52,78,74,4.37,https://www.psprint.com/resources/design-ideas-for-die-cut-stickers-that-stand-out/,0,0,0,1,152000000,"[100,82,82,82,82,100,82,82,82,82,82,82]",2021-12-14,"Image pack, Site links, Reviews, Video, Image, AdWords top, AdWords bottom, Video Carousel, People also ask, FAQ",commercial
rehearsal dinner invitations,9900,58,55,0,2.87,https://www.psprint.com/store/shop/rehearsal-dinner-invitations/,0,0,2,1,94,"[36,24,20,45,55,82,82,82,82,100,100,82]",2021-12-13,"Image pack, Site links, Reviews, Video, Image, People also ask, FAQ",commercial
birthday invitation templates,9900,74,45,0,0.63,https://www.psprint.com/design-templates/invitation-cards/~~~~~~birthday,2,0,1,1,74600000,"[45,36,24,36,36,67,82,100,82,82,82,100]",2021-12-14,"Image pack, Site links, Reviews, Video, FAQ","informational, transactional"
create business cards,9900,84,8,8,3.21,https://www.psprint.com/design-templates/business-cards/,297,0.39,953,0.99,1120000000,"[82,67,67,82,82,100,82,100,100,100,100,100]",2021-12-13,"Site links, Reviews, AdWords top, Shopping ads, Video Carousel, FAQ",commercial
eddm usps,9900,65,76,34,2.79,https://www.psprint.com/resources/what-is-eddm-every-door-direct-mail/,0,0,0,0.47,139000,"[100,67,67,82,82,100,100,82,82,82,82,82]",2021-12-13,"Video, AdWords top, People also ask, FAQ","informational, transactional"
sticker design,8100,78,3,5,1.54,https://www.psprint.com/design-templates/stickers-labels/,729,0.95,1122,1,2620000000,"[100,82,100,100,100,100,100,82,82,82,82,82]",2021-12-14,"Image pack, Reviews, AdWords top, Video Carousel, People also ask, FAQ",transactional
custom magnets,8100,74,54,59,3.41,https://www.psprint.com/magnets,0,0,2,1,31000000,"[67,67,82,67,55,67,67,67,67,82,100,82]",2021-12-13,"Site links, Reviews, Video Carousel, People also ask, FAQ",transactional
postcard printing,8100,71,13,12,4.89,https://www.psprint.com/postcards,72,0.09,356,1,0,"[82,100,100,82,82,82,82,82,82,82,82,82]",2021-12-13,"Site links, Reviews, Video Carousel, FAQ",commercial
make your own stickers,8100,77,26,24,1.47,https://www.psprint.com/design-templates/stickers-labels/,12,0.01,17,1,355000000,"[100,100,100,100,82,100,82,82,67,67,67,67]",2021-12-13,"Image pack, Site links, Reviews, Image, AdWords top, Video Carousel, People also ask, FAQ",commercial
invitation card,8100,82,10,8,0.93,https://www.psprint.com/design-templates/invitation-cards/,243,0.31,225,1,3060000000,"[55,55,45,67,55,82,82,100,82,82,67,82]",2021-12-13,"Image pack, Site links, Reviews, AdWords top, Video Carousel, FAQ",commercial
eddm,8100,67,8,9,4.19,https://www.psprint.com/resources/what-is-eddm-every-door-direct-mail/,243,0.31,1018,0.62,1700000,"[82,67,67,82,82,100,82,67,82,67,67,67]",2021-12-13,"Reviews, Video, People also ask, FAQ",commercial
virtual birthday cards,8100,87,69,69,1.34,https://www.psprint.com/design-templates/greeting-cards/~~~~~~birthday,0,0,0,1,1150000000,"[100,82,82,100,100,100,82,67,55,55,67,67]",2021-12-13,"Image pack, Site links, Reviews, Video, AdWords top, People also ask",commercial
custom stickers cheap,8100,71,13,13,2.61,https://www.psprint.com/stickers-labels,72,0.09,190,1,29400000,"[100,81,81,100,81,100,100,81,81,81,100,81]",2021-12-13,"Site links, Reviews, FAQ",commercial
wedding program template,8100,63,41,42,0.93,https://www.psprint.com/resources/perfect-wedding-program-printing-guide/,2,0,2,1,102000000,"[55,30,24,36,36,55,67,100,100,100,100,100]",2021-12-13,"Image pack, Site links, Reviews, Video, Image, People also ask","commercial, informational"
pamphlet template,6600,72,13,12,1.59,https://www.psprint.com/design-templates/brochures/,59,0.07,94,0.41,30900000,"[81,100,67,67,81,81,100,81,54,54,54,67]",2021-12-13,"Image pack, Site links, Reviews, Video, AdWords top, People also ask",commercial
custom sticker printing,6600,74,17,16,3.67,https://www.psprint.com/stickers-labels,26,0.03,96,1,1640000000,"[67,67,81,81,67,100,81,81,67,67,67,67]",2021-12-13,"Reviews, FAQ",commercial
custom sticker labels,6600,76,29,31,3.39,https://www.psprint.com/design-templates/stickers-labels/,9,0.01,33,1,18700000,"[55,100,67,55,55,55,55,55,55,55,55,55]",2021-12-13,"Image pack, Reviews, Video, Shopping ads, FAQ",transactional
custom thank you cards,6600,65,22,23,3.35,https://www.psprint.com/design-templates/greeting-cards/~~~~~~thank_you,9,0.01,33,1,241000000,"[100,82,82,100,82,100,82,82,100,82,100,100]",2021-12-13,"Image pack, Site links, Reviews, Image",commercial
flyer printing,6600,69,18,17,4.4,https://www.psprint.com/flyers/category,19,0.02,87,1,41700000,"[67,55,55,55,55,82,67,67,67,82,100,82]",2021-12-13,"Site links, Reviews, People also ask, FAQ",transactional
create invitations,6600,85,17,16,0.96,https://www.psprint.com/design-templates/invitation-cards/,26,0.03,25,1,176000000,"[81,67,54,67,67,81,100,100,100,81,81,81]",2021-12-13,"Reviews, Video, AdWords top, Video Carousel, People also ask, FAQ",commercial
colored paper,6600,50,44,44,0.5,https://www.psprint.com/business-cards/colored-paper-cards,1,0,0,1,4160000000,"[100,100,100,100,100,82,82,100,100,100,100,82]",2021-12-13,"Image pack, Site links, Reviews, Video, People also ask",commercial
custom notepads,6600,66,96,55,3.87,https://www.psprint.com/note-pads,0,0,0,1,14000000,"[81,100,100,100,81,81,81,81,81,81,100,81]",2021-12-13,"Site links, Reviews, Image, Video Carousel, People also ask, FAQ",transactional
virtual invitations,5400,79,70,0,1.07,https://www.psprint.com/design-templates/invitation-cards/,0,0,0,1,780000000,"[67,55,55,67,67,82,100,100,82,82,67,67]",2021-12-13,"Image pack, Site links, Reviews, Video, Shopping ads, People also ask, FAQ",commercial
real estate business cards,5400,60,45,38,2.55,https://www.psprint.com/design-templates/business-cards/~~~~real_estate,1,0,4,1,626000000,"[82,67,67,100,82,100,82,82,82,67,82,82]",2021-12-13,"Image pack, Site links, Reviews, Video, People also ask, FAQ",commercial
custom postcards,5400,73,16,15,4.28,https://www.psprint.com/postcards,27,0.03,115,1,3560000000,"[67,81,100,67,54,67,54,54,54,54,54,54]",2021-12-13,"Site links, Reviews, AdWords top, Shopping ads, Video Carousel, FAQ",commercial
baby announcement cards,5400,61,63,63,2.61,https://www.psprint.com/resources/what-are-the-best-colors-for-baby-announcements/,0,0,0,1,48400000,"[16,16,13,44,10,100,19,10,13,13,13,16]",2021-12-14,"Image pack, Site links, Reviews, Image, AdWords top, Shopping ads, People also ask, FAQ",commercial
a7 envelope size,5400,37,81,82,2.2,https://www.psprint.com/layout-templates/envelopes-printing/,0,0,0,1,4450000,"[54,81,100,54,54,67,54,54,54,54,67,54]",2021-12-13,"Image pack, Site links, Reviews, Featured snippet, People also ask, FAQ",commercial
bumper sticker maker,5400,62,30,30,0.78,https://www.psprint.com/design-templates/stickers-labels/,8,0.01,6,1,10900000,"[36,44,100,67,54,81,67,54,54,44,54,67]",2021-12-13,"Reviews, Video Carousel, FAQ",transactional
sticker creator,5400,78,11,14,1.65,https://www.psprint.com/design-templates/stickers-labels/,253,0.33,418,1,51700000,"[100,100,100,100,100,100,81,81,81,81,81,81]",2021-12-13,"Site links, Reviews, AdWords top, Video Carousel, FAQ",commercial
free e birthday cards,5400,84,64,71,0.74,https://www.psprint.com/design-templates/greeting-cards/~~~~~~birthday,0,0,0,0.97,613000000,"[100,82,100,100,82,82,82,67,55,67,67,82]",2021-12-13,"Site links, Reviews, AdWords top, People also ask",commercial
decal maker,5400,62,29,48,0.81,https://www.psprint.com/design-templates/stickers-labels/,8,0.01,6,1,28900000,"[100,100,100,100,82,100,82,82,67,67,67,67]",2021-12-13,"Image pack, Site links, Reviews, Image, Video Carousel, People also ask, FAQ",commercial
graduation invitation template,5400,67,62,0,1,https://www.psprint.com/resources/make-your-own-graduation-invitation-cards/,0,0,0,1,36000000,"[2,5,4,3,4,13,45,100,37,11,5,3]",2021-12-14,"Image pack, Site links, Reviews, Video Carousel, FAQ","informational, transactional"
business flyers,5400,72,39,35,3.22,https://www.psprint.com/flyers/category,3,0,12,1,143000000,"[100,82,67,100,82,100,100,100,82,82,82,82]",2021-12-13,"Image pack, Site links, Reviews, Image, AdWords top, Video Carousel, People also ask, FAQ",transactional
baby announcement template,5400,52,20,20,1.06,https://www.psprint.com/design-templates/invitation-cards/~~~~~~birth_announcement,16,0.02,17,1,11800000,"[23,44,100,12,16,20,30,23,12,44,30,12]",2021-12-13,"Image pack, Site links, Reviews, Video, Shopping ads, People also ask","commercial, informational"
free greeting cards,5400,86,35,34,0.47,https://www.psprint.com/design-templates/greeting-cards/,3,0,1,0.73,1370000000,"[55,67,100,44,67,55,55,67,55,36,36,44]",2021-12-13,"Reviews, AdWords top, People also ask",commercial
presentation folders,4400,62,24,26,3.83,https://www.psprint.com/pocket-folders,6,0,25,1,33300000,"[67,100,67,81,81,81,81,67,67,67,81,67]",2021-12-13,"Image pack, Site links, Reviews, Image, Shopping ads, People also ask, FAQ",transactional
custom birthday cards,4400,59,67,66,1.21,https://www.psprint.com/greeting-cards,0,0,0,1,221000000,"[100,100,82,100,82,100,100,82,82,100,100,100]",2021-12-14,"Reviews, Image, Shopping ads, FAQ",commercial
free wedding invitation templates,4400,67,18,18,1.37,https://www.psprint.com/design-templates/invitation-cards/~~~~~~wedding,13,0.01,18,1,72600000,"[44,44,36,82,82,100,82,82,82,67,67,67]",2021-12-13,"Image pack, Site links, Reviews, Video, FAQ","commercial, informational"
custom bookmarks,4400,57,76,71,1.54,https://www.psprint.com/bookmarks,0,0,0,1,125000000,"[55,82,100,82,67,67,67,67,67,67,67,67]",2021-12-14,"Image pack, Reviews, Shopping ads, People also ask",transactional
birthday cards for boys,4400,30,52,48,0.85,https://www.psprint.com/design-templates/greeting-cards/~~~~~~birthday,0,0,0,1,147000000,"[100,16,12,36,54,30,12,54,12,23,23,16]",2021-12-13,"Image pack, Site links, Reviews, Video Carousel","commercial, informational"
brochure maker,4400,75,17,19,2.45,https://www.psprint.com/design-templates/brochures/,17,0.02,43,0.8,137000000,"[100,100,81,67,67,100,100,81,54,44,54,67]",2021-12-13,"Reviews, Video Carousel, People also ask, FAQ",commercial
free digital invitations,4400,84,44,44,0.65,https://www.psprint.com/design-templates/invitation-cards/,1,0,0,0.88,112000000,"[55,55,44,55,55,67,82,100,100,82,82,82]",2021-12-13,"Image pack, Site links, Reviews, Video, AdWords top, People also ask, FAQ",commercial
free invitations,4400,83,64,0,0.56,https://www.psprint.com/design-templates/invitation-cards/~5x7,0,0,0,0.98,486000000,"[81,67,54,67,67,81,100,100,100,100,81,81]",2021-12-14,"Reviews, AdWords top, People also ask, FAQ",commercial
business card sample,4400,71,4,4,2.6,https://www.psprint.com/design-templates/business-cards/,308,0.4,800,1,710000000,"[81,81,67,81,81,100,100,81,81,81,81,81]",2021-12-14,"Image pack, Reviews, Video, Shopping ads, People also ask, FAQ","commercial, informational"
vinyl sticker printer,4400,52,64,53,1.84,https://www.psprint.com/stickers-labels/category,0,0,0,1,476000000,"[81,81,100,100,81,100,81,81,81,81,81,81]",2021-12-13,"Site links, Reviews, Video Carousel, People also ask",commercial
table tent,4400,43,68,70,2.3,https://www.psprint.com/resources/table-tent-design-essentials/,0,0,0,1,300000000,"[67,54,35,54,54,81,81,100,100,100,100,100]",2021-12-14,"Image pack, Reviews, Image, People also ask, FAQ","informational, transactional"
label design,4400,58,85,79,1.94,https://www.psprint.com/design-templates/stickers-labels/,0,0,0,1,4850000000,"[81,81,81,100,81,81,81,67,67,67,67,67]",2021-12-13,"Image pack, Reviews, Video Carousel, FAQ",commercial
